City,State,Latitude,Longitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
MIDLAND-ODESSA,TX,31.8456816,-102.3676431,61,60,54,52.5,58.5,60,58.5,61,66,64.5,62,60.5
PORT ARTHUR,TX,29.8849504,-93.939947,79.5,78,78.5,79.5,80.5,81.5,83,83,81,78.5,79,79.5
SAN ANGELO,TX,31.4637723,-100.4370375,66,64.5,61,61,66.5,66.5,63,63.5,69.5,69.5,68,66
SAN ANTONIO,TX,29.4241219,-98.4936282,70.5,70.5,69,71.5,75,74,72,70.5,72,71,70.5,70
VICTORIA,TX,28.8052674,-97.0035982,79,78,77.5,78.5,80.5,80.5,80,79.5,80.5,78,78.5,78.5
WACO,TX,31.549333,-97.1466695,74,73.5,73,74,77,73.5,68.5,66.5,72,73,73.5,73.5
WICHITA FALLS,TX,33.9137085,-98.4933873,68.5,68.5,66,66.5,71.5,70,62.5,63.5,70,69,69.5,69
SALT LAKE CITY,UT,40.7607793,-111.8910474,74.5,69,57.5,52.5,48.5,41.5,35.5,37.5,44.5,55,67,75
BURLINGTON,VT,44.4758825,-73.212072,68.5,66.5,65.5,61,61,64.5,65,68,71.5,69.5,70,71.5
LYNCHBURG,VA,37.4137536,-79.1422464,62.5,60.5,59.5,58.5,66,67.5,70,70,71.5,68.5,64.5,64
NORFOLK,VA,36.8507689,-76.2858726,66,65,64,62,66,67.5,69,72,71.5,69.5,67,66.5
RICHMOND,VA,37.5407246,-77.4360481,67.5,64.5,62.5,60,65,66,69,71.5,71.5,70,66.5,67
ROANOKE,VA,37.2709704,-79.9414266,60.5,58.5,58,58,65,66,67.5,69.5,70.5,66,62.5,62
WALLOPS ISLAND,VA,37.9106188,-75.452572,68.5,67,67,65.5,69.5,70,72,73.5,73,70.5,70,69
OLYMPIA,WA,47.0378741,-122.9006951,86,80.5,77,73.5,72,72,69.5,70,73,80.5,86,87.5
QUILLAYUTE,WA,47.9124512,-124.5892263,87.5,83,82,79.5,79.5,80.5,80,81,80.5,84.5,88,88.5
SEATTLE SEA-TAC AP,WA,47.7510741,-120.7401386,78.5,74,72.5,70.5,68.5,67.5,65,66.5,71,77,79.5,80
SPOKANE,WA,47.6587802,-117.4260466,82.5,77,67.5,60.5,58,55,45,44.5,51,64,81.5,85
YAKIMA,WA,46.6020711,-120.5058987,78,69.5,59,52.5,51,50,46.5,49,53.5,61.5,73.5,80.5
BECKLEY,WV,37.7781702,-81.1881557,72.5,70.5,67,62,67.5,71.5,75,76,75,70.5,68.5,72
CHARLESTON,WV,38.3498195,-81.6326234,70,67.5,64.5,61.5,67.5,70,74,74.5,73.5,70.5,68,70
ELKINS,WV,38.9259397,-79.8467349,72,69.5,67.5,65.5,69.5,73.5,76,77,76.5,71,70.5,73
HUNTINGTON,WV,38.4192496,-82.445154,71,68.5,64.5,61.5,69,71.5,74,74.5,74.5,70.5,68.5,71.5
GREEN BAY,WI,44.519159,-88.019826,75,74.5,74.5,70.5,70,73.5,75.5,79,79,76,77,77
LA CROSSE,WI,43.8013556,-91.2395807,73.5,72.5,71.5,66.5,67.5,70.5,73,76,76.5,71.5,73,75.5
MADISON,WI,43.0730517,-89.4012302,75,74.5,73,69.5,69.5,72,74.5,78.5,79,74.5,76.5,77.5
MILWAUKEE,WI,43.0389025,-87.9064736,72.5,72,72.5,70,70,71.5,73,76,75.5,72,73,75.5
CASPER,WY,42.866632,-106.313081,63,62,57.5,58,58,53,47.5,45.5,49,55.5,61.5,65
CHEYENNE,WY,41.1399814,-104.8202462,53.5,55,55,55,57.5,55,52.5,53,52,52,54.5,55.5
LANDER,WY,42.833014,-108.7306725,63.5,60.5,54.5,51.5,51,45.5,39.5,39,44.5,52,61.5,63.5
SHERIDAN,WY,44.7971939,-106.9561791,68,66.5,62.5,60,62,61.5,52.5,49.5,54.5,61,67,68.5
